Income  , Kidhome, Teenhome, Recency, MntWines, MntFruits, MntMeatProducts, MntFishProducts, MntSweetProducts, MntGoldProds, NumDealsPurchases, NumWebPurchases, NumCatalogPurchases, NumStorePurchases, NumWebVisitsMonth, AcceptedCmp3, AcceptedCmp4, AcceptedCmp5, AcceptedCmp1, AcceptedCmp2, Complain, Response, Age, Customer_Days, Total_Spending, Total_Purchases, Children, Living_With, Family_Size, Is_Parent, Education_Level, Cluster
  7500.0,       0,        0,      59,        6,        16,              11,              11,                1,           16,                 1,               2,                   0,                 3,                 8,            0,            0,            0,            0,            0,        0,        0,  38,           593,             61,               6,        0, Partner    ,           2,         0, Undergraduate  ,       3
 63033.0,       0,        0,      82,      194,        61,             480,             225,              112,           30,                 1,               3,                   4,                 8,                 2,            0,            0,            0,            0,            0,        0,        0,  55,           226,           1102,              16,        0, Alone      ,           1,         0, Graduate       ,       2
 59354.0,       1,        1,      53,      233,         2,              53,               3,                5,           14,                 3,               6,                   1,                 5,                 6,            0,            0,            0,            0,            0,        0,        0,  62,           226,            310,              15,        2, Alone      ,           3,         1, Postgraduate   ,       1
 17323.0,       0,        0,      38,        3,        14,              17,               6,                1,            5,                 1,               1,                   0,                 3,                 8,            0,            0,            0,            0,            0,        0,        0,  27,           627,             46,               5,        0, Partner    ,           2,         0, Graduate       ,       3
 82800.0,       0,        0,      23,     1006,        22,             115,              59,               68,           45,                 1,               7,                   6,                12,                 3,            0,            0,            1,            1,            0,        0,        1,  68,           582,           1315,              26,        0, Alone      ,           1,         0, Postgraduate   ,       2
 41850.0,       1,        1,      51,       53,         5,              19,               2,               13,            4,                 3,               3,                   0,                 3,                 8,            0,            0,            0,            0,            0,        0,        0,  34,           552,             96,               9,        2, Partner    ,           4,         1, Graduate       ,       1
 37760.0,       0,        0,      20,       84,         5,              38,             150,               12,           28,                 2,               4,                   1,                 6,                 7,            0,            0,            0,            0,            0,        0,        0,  68,           667,            317,              13,        0, Partner    ,           2,         0, Graduate       ,       3
 76995.0,       0,        1,      91,     1012,        80,             498,               0,               16,          176,                 2,              11,                   4,                 9,                 5,            0,            0,            0,            1,            0,        0,        0,  65,           458,           1782,              26,        1, Partner    ,           3,         1, Postgraduate   ,       0
 33812.0,       1,        0,      86,        4,        17,              19,              30,               24,           39,                 2,               2,                   1,                 3,                 6,            0,            0,            0,            0,            0,        0,        0,  29,           603,            133,               8,        1, Alone      ,           2,         1, Undergraduate  ,       3
 37040.0,       0,        0,      41,       86,         2,              73,              69,               38,           48,                 1,               4,                   2,                 5,                 8,            0,            0,            0,            0,            0,        0,        0,  32,           690,            316,              12,        0, Partner    ,           2,         0, Graduate       ,       3
  2447.0,       1,        0,      42,        1,         1,            1725,               1,                1,            1,                15,               0,                  28,                 0,                 1,            0,            0,            0,            0,            0,        0,        0,  35,           539,           1730,              43,        1, Partner    ,           3,         1, Graduate       ,       0
 58607.0,       0,        1,      63,      867,         0,              86,               0,                0,           19,                 3,               2,                   3,                 9,                 8,            0,            1,            0,            0,            0,        0,        0,  65,           553,            972,              17,        1, Partner    ,           3,         1, Postgraduate   ,       0
 65324.0,       0,        1,       0,      384,         0,             102,              21,               32,            5,                 3,               6,                   2,                 9,                 4,            0,            0,            0,            0,            0,        0,        0,  60,           169,            544,              20,        1, Partner    ,           3,         1, Postgraduate   ,       0
 40689.0,       0,        1,      69,      270,         3,              27,              39,                6,           99,                 7,               7,                   1,                 5,                 8,            0,            0,            0,            0,            0,        0,        0,  63,           468,            444,              20,        1, Partner    ,           3,         1, Graduate       ,       0
 18589.0,       0,        0,      89,        6,         4,              25,              15,               12,           13,                 2,               2,                   1,                 3,                 7,            0,            0,            0,            0,            0,        0,        0,  45,           543,             75,               8,        0, Alone      ,           1,         0, Graduate       ,       3
 53359.0,       1,        1,       4,      173,         4,              30,               3,                6,           41,                 4,               5,                   1,                 4,                 7,            0,            0,            0,            0,            0,        0,        0,  38,           398,            257,              14,        2, Partner    ,           4,         1, Graduate       ,       1
 38360.0,       1,        0,      26,       36,         2,              42,              20,               21,           10,                 2,               2,                   1,                 4,                 3,            0,            0,            0,            0,            0,        0,        0,  25,           394,            131,               9,        1, Partner    ,           3,         1, Graduate       ,       1
 84618.0,       0,        0,      96,      684,       100,             801,              21,               66,            0,                 1,               6,                   9,                10,                 2,            0,            0,            1,            0,            0,        0,        0,  49,           219,           1672,              26,        0, Partner    ,           2,         0, Postgraduate   ,       2
 10979.0,       0,        0,      34,        8,         4,              10,               2,                2,            4,                 2,               3,                   0,                 3,                 5,            0,            0,            0,            0,            0,        0,        0,  25,            38,             30,               8,        0, Alone      ,           1,         0, Postgraduate   ,       3
 38620.0,       0,        0,      56,      112,        17,              44,              34,               22,           89,                 1,               2,                   5,                 3,                 3,            0,            0,            0,            0,            0,        0,        0,  51,           414,            318,              11,        0, Partner    ,           2,         0, Postgraduate   ,       3
 40548.0,       0,        1,      31,      110,         0,               5,               2,                0,            3,                 2,               2,                   1,                 4,                 5,            0,            1,            0,            0,            0,        0,        0,  44,           627,            120,               9,        1, Partner    ,           3,         1, Graduate       ,       1
 46610.0,       0,        2,       8,       96,        12,              96,              33,               22,           43,                 6,               4,                   1,                 6,                 6,            0,            0,            0,            0,            0,        0,        1,  62,           608,            302,              17,        2, Alone      ,           3,         1, Postgraduate   ,       0
 68657.0,       0,        0,       4,      482,        34,             471,             119,               68,           22,                 1,               3,                   5,                 9,                 7,            0,            0,            0,            0,            0,        0,        0,  68,           494,           1196,              18,        0, Partner    ,           2,         0, Postgraduate   ,       2
 49389.0,       1,        1,      55,       40,         0,              19,               2,                1,            3,                 1,               2,                   0,                 3,                 7,            0,            0,            0,            0,            0,        0,        0,  63,           304,             65,               6,        2, Alone      ,           3,         1, Postgraduate   ,       1
 67353.0,       0,        1,      37,      702,        17,             151,               0,                8,           35,                 5,               5,                   6,                12,                 2,            0,            0,            0,            0,            0,        0,        0,  44,           180,            913,              28,        1, Partner    ,           3,         1, Postgraduate   ,       0
 23718.0,       1,        0,      76,        6,         3,              14,              15,                7,           36,                 3,               3,                   1,                 2,                 7,            0,            0,            0,            0,            0,        0,        0,  38,           300,             81,               9,        1, Partner    ,           3,         1, Undergraduate  ,       1
 42429.0,       0,        1,      99,       55,         0,               6,               2,                0,            4,                 2,               1,                   1,                 3,                 5,            0,            0,            0,            0,            0,        0,        0,  41,           138,             67,               7,        1, Alone      ,           2,         1, Graduate       ,       3
 48948.0,       0,        0,      53,      437,         8,             206,             160,               49,           42,                 2,               7,                  10,                 5,                 6,            1,            0,            0,            0,            0,        0,        1,  71,           513,            902,              24,        0, Alone      ,           1,         0, Postgraduate   ,       2
 80011.0,       0,        1,       3,      421,        76,             536,              82,              178,          102,                 2,               8,                   6,                 5,                 4,            0,            0,            0,            0,            0,        0,        0,  34,           426,           1395,              21,        1, Partner    ,           3,         1, Graduate       ,       2
 20559.0,       1,        0,      88,       13,         1,              29,               3,                0,            7,                 2,               2,                   0,                 3,                 8,            0,            0,            0,            0,            0,        0,        0,  29,           474,             53,               7,        1, Partner    ,           3,         1, Postgraduate   ,       3
 21994.0,       0,        1,       4,        9,         0,               6,               3,                1,            3,                 1,               0,                   0,                 3,                 5,            0,            0,            0,            0,            0,        0,        0,  57,           552,             22,               4,        1, Partner    ,           3,         1, Graduate       ,       1
  7500.0,       1,        0,      19,        3,         1,              10,               3,                2,           12,                 3,               2,                   0,                 3,                 5,            0,            0,            0,            0,            0,        0,        0,  39,           270,             31,               8,        1, Partner    ,           3,         1, Postgraduate   ,       1
 79941.0,       0,        0,      72,      123,       164,             266,             227,               30,          174,                 1,               2,                   4,                 9,                 1,            0,            0,            0,            0,            0,        0,        0,  38,             1,            984,              16,        0, Alone      ,           1,         0, Graduate       ,       2
  7500.0,       0,        0,      24,        3,        18,              14,              15,               22,           50,                 3,               3,                   1,                 3,                 9,            0,            0,            0,            0,            0,        0,        1,  18,           597,            122,              10,        0, Partner    ,           2,         0, Undergraduate  ,       3
 41728.0,       1,        0,      92,       13,         6,              15,               3,                5,           13,                 1,               2,                   0,                 2,                10,            0,            0,            0,            0,            0,        0,        0,  46,           401,             55,               5,        1, Partner    ,           3,         1, Graduate       ,       1
 72550.0,       1,        1,      39,      826,        50,             317,              50,               38,           38,                 9,               5,                   2,                12,                 8,            0,            0,            0,            0,            0,        0,        0,  60,           598,           1319,              28,        2, Partner    ,           4,         1, Postgraduate   ,       0
 65486.0,       0,        1,      29,      245,        19,             125,              37,               67,           14,                 1,               4,                   2,                10,                 2,            0,            0,            0,            0,            0,        0,        0,  57,            48,            507,              17,        1, Alone      ,           2,         1, Graduate       ,       2
 79143.0,       0,        0,       2,      650,        37,             780,              27,              167,           32,                 1,               6,                   9,                13,                 3,            0,            0,            0,            0,            0,        0,        0,  50,           687,           1693,              29,        0, Partner    ,           2,         0, Postgraduate   ,       2
 35790.0,       1,        0,      54,       12,         6,              20,              30,                1,            3,                 2,               2,                   0,                 3,                 7,            0,            0,            0,            0,            0,        0,        0,  37,           543,             72,               7,        1, Alone      ,           2,         1, Graduate       ,       3
 82582.0,       0,        0,      54,      510,       120,             550,             156,               40,          241,                 1,               4,                   9,                 7,                 1,            1,            0,            0,            1,            0,        0,        1,  37,            22,           1617,              21,        0, Alone      ,           1,         0, Graduate       ,       2
 66373.0,       1,        1,      57,      328,         9,             124,              12,               24,          109,                 7,               4,                   2,                10,                 3,            0,            0,            0,            0,            0,        0,        0,  36,           382,            606,              23,        2, Partner    ,           4,         1, Graduate       ,       0
 82384.0,       0,        0,      55,      984,        51,             432,             180,              120,          190,                 1,               3,                  10,                13,                 1,            0,            0,            1,            0,            0,        0,        1,  59,           587,           1957,              27,        0, Partner    ,           2,         0, Postgraduate   ,       2
 70287.0,       0,        0,      30,      295,        35,             482,             121,              120,           40,                 1,               5,                   5,                10,                 3,            0,            0,            0,            0,            0,        0,        1,  48,           453,           1093,              21,        0, Alone      ,           1,         0, Graduate       ,       2
 27938.0,       1,        0,      31,       13,         0,               8,               2,                1,            5,                 1,               1,                   0,                 4,                 3,            0,            0,            0,            0,            0,        0,        0,  26,            62,             29,               6,        1, Alone      ,           2,         1, Graduate       ,       3
 55954.0,       0,        1,      63,      447,         0,              28,               0,                0,           43,                 3,               8,                   2,                 6,                 7,            0,            0,            0,            0,            0,        0,        0,  46,           118,            518,              19,        1, Partner    ,           3,         1, Postgraduate   ,       1
 75777.0,       0,        0,      12,      712,        26,             538,              69,               13,           80,                 1,               3,                   6,                11,                 1,            0,            1,            1,            0,            0,        0,        1,  32,           360,           1438,              21,        0, Alone      ,           1,         0, Postgraduate   ,       2
 66653.0,       1,        1,      18,      452,        18,             102,              16,               18,            6,                 4,               4,                   2,                12,                 3,            0,            0,            0,            0,            0,        0,        0,  39,           660,            612,              22,        2, Partner    ,           4,         1, Graduate       ,       0
 61823.0,       0,        1,      26,      523,         7,             134,              37,               14,          169,                 4,               8,                   2,                10,                 7,            0,            0,            0,            0,            0,        0,        0,  62,           496,            884,              24,        1, Alone      ,           2,         1, Graduate       ,       0
 67680.0,       0,        1,       8,      546,         0,              48,               0,                6,            6,                 1,               7,                   3,                 8,                 5,            0,            0,            0,            0,            0,        0,        0,  63,           383,            606,              19,        1, Alone      ,           2,         1, Postgraduate   ,       2
 70666.0,       0,        0,      29,      398,        40,             367,             119,              122,           30,                 1,               7,                   4,                 4,                 4,            0,            0,            0,            0,            0,        0,        0,  66,           205,           1076,              16,        0, Partner    ,           2,         0, Graduate       ,       2
 25721.0,       1,        0,      75,        1,         3,               6,               3,                6,           15,                 1,               1,                   1,                 2,                 7,            0,            0,            0,            0,            0,        0,        1,  43,           404,             34,               5,        1, Partner    ,           3,         1, Graduate       ,       1
 32474.0,       1,        1,       0,       10,         0,               1,               0,                0,            0,                 1,               1,                   0,                 2,                 7,            0,            0,            0,            0,            0,        0,        0,  47,            49,             11,               4,        2, Partner    ,           4,         1, Graduate       ,       1
 88194.0,       0,        1,      19,      688,        14,             309,             201,               24,           38,                 1,              11,                  10,                10,                 5,            1,            0,            0,            1,            0,        0,        1,  35,           102,           1274,              32,        1, Alone      ,           2,         1, Undergraduate  ,       2
 69096.0,       0,        1,       4,      247,        49,             159,               7,               82,          109,                 1,               5,                   2,                10,                 4,            0,            0,            0,            0,            0,        0,        0,  56,           275,            653,              18,        1, Partner    ,           3,         1, Graduate       ,       2
 74854.0,       1,        2,      90,      856,        59,             487,              58,               29,           73,                 7,               2,                   5,                 5,                 5,            0,            0,            0,            0,            0,        0,        0,  44,           447,           1562,              19,        3, Partner    ,           5,         1, Graduate       ,       0
 66991.0,       0,        0,       1,      496,        36,             460,             189,               60,           12,                 3,               4,                   8,                 6,                 3,            0,            0,            0,            0,            0,        0,        0,  60,           656,           1253,              21,        0, Partner    ,           2,         0, Postgraduate   ,       2
 65031.0,       0,        1,      29,      258,       107,             291,              84,               37,           86,                 4,              10,                   3,                13,                 7,            0,            0,            0,            0,            0,        0,        0,  55,           469,            863,              30,        1, Partner    ,           3,         1, Graduate       ,       0
 60631.0,       1,        1,      88,      565,         6,              65,               0,                6,           19,                 5,               9,                   2,                 8,                 7,            0,            1,            0,            0,            0,        0,        0,  39,           450,            661,              24,        2, Partner    ,           4,         1, Postgraduate   ,       0
 28332.0,       0,        0,      58,       14,        10,              13,               4,               15,            9,                 1,               2,                   1,                 4,                 2,            0,            0,            0,            0,            0,        0,        0,  62,            60,             65,               8,        0, Partner    ,           2,         0, Graduate       ,       1
 40246.0,       1,        0,      68,        2,         1,               6,               2,                1,            1,                 1,               1,                   0,                 2,                 6,            0,            0,            0,            0,            0,        0,        0,  37,           557,             13,               4,        1, Alone      ,           2,         1, Graduate       ,       3
 75251.0,       0,        0,      34,      721,       111,             925,              97,               18,           18,                 1,               7,                   6,                 5,                 5,            0,            0,            0,            0,            0,        0,        1,  42,           671,           1890,              19,        0, Partner    ,           2,         0, Postgraduate   ,       2
 75825.0,       0,        0,      40,     1032,       105,             779,             137,              105,           51,                 0,               5,                   8,                 9,                 4,            1,            0,            0,            0,            0,        0,        1,  38,           625,           2209,              22,        0, Alone      ,           1,         0, Graduate       ,       2
 26326.0,       0,        0,      12,        1,         0,               5,               0,                3,            9,                 1,               0,                   0,                 3,                 3,            0,            0,            0,            0,            0,        1,        0,  38,           298,             18,               4,        0, Partner    ,           2,         0, Undergraduate  ,       3
 56046.0,       0,        0,       9,      577,         0,              64,               0,                0,           51,                 2,              10,                   1,                 8,                 8,            1,            0,            0,            0,            0,        0,        1,  49,           543,            692,              21,        0, Partner    ,           2,         0, Graduate       ,       0
 29760.0,       1,        0,      87,       64,         4,              68,               7,                5,           17,                 4,               3,                   1,                 4,                 8,            0,            0,            0,            0,            0,        0,        0,  29,           669,            165,              12,        1, Alone      ,           2,         1, Graduate       ,       3
 26304.0,       1,        0,       5,        4,         1,               5,               2,                0,            4,                 1,               1,                   0,                 2,                 7,            0,            0,            0,            0,            0,        0,        0,  45,           371,             16,               4,        1, Partner    ,           3,         1, Graduate       ,       1
 23559.0,       1,        0,      87,       25,         5,              19,               7,                0,           23,                 3,               3,                   0,                 3,                 7,            0,            0,            0,            0,            0,        0,        0,  41,           361,             79,               9,        1, Partner    ,           3,         1, Undergraduate  ,       1
 38620.0,       0,        0,      56,      112,        17,              44,              34,               22,           89,                 1,               2,                   5,                 3,                 3,            0,            0,            0,            0,            0,        0,        0,  51,           414,            318,              11,        0, Partner    ,           2,         0, Postgraduate   ,       3
 81361.0,       0,        0,      18,      163,        23,             424,              27,               65,           76,                 1,               3,                  10,                13,                 1,            0,            0,            0,            0,            0,        0,        0,  27,           124,            778,              27,        0, Alone      ,           1,         0, Graduate       ,       2
 29440.0,       1,        1,      95,       17,         8,              14,              10,                4,            3,                 2,               1,                   0,                 4,                 7,            0,            0,            0,            0,            0,        0,        0,  54,           322,             56,               7,        2, Partner    ,           4,         1, Graduate       ,       1
 36138.0,       1,        1,      48,      130,         0,              16,               0,                0,            5,                 5,               3,                   1,                 4,                 7,            0,            1,            0,            0,            0,        0,        0,  44,           348,            151,              13,        2, Partner    ,           4,         1, Postgraduate   ,       1
 50388.0,       0,        1,       3,      292,         6,              37,               0,                3,           34,                 4,               6,                   1,                 6,                 7,            0,            1,            0,            1,            0,        0,        1,  57,            32,            372,              17,        1, Alone      ,           2,         1, Graduate       ,       3
 79593.0,       0,        0,      70,      350,        60,             568,             110,              133,          145,                 1,               5,                   6,                 7,                 2,            0,            0,            1,            0,            0,        0,        0,  41,            48,           1366,              19,        0, Partner    ,           2,         0, Graduate       ,       2
 54178.0,       0,        1,      79,      135,         9,              39,               4,                0,            7,                 1,               2,                   2,                 5,                 2,            0,            0,            0,            0,            0,        0,        0,  47,           159,            194,              10,        1, Partner    ,           3,         1, Graduate       ,       1
 42394.0,       1,        0,      69,       15,         2,              10,               0,                1,            4,                 1,               1,                   0,                 3,                 7,            0,            0,            0,            0,            0,        0,        0,  42,            98,             32,               5,        1, Alone      ,           2,         1, Postgraduate   ,       3
 23626.0,       1,        0,      84,       27,         2,              14,               0,                0,            0,                 3,               3,                   1,                 3,                 5,            0,            0,            0,            0,            0,        0,        0,  44,            36,             43,              10,        1, Partner    ,           3,         1, Postgraduate   ,       1
 30096.0,       1,        0,      30,        5,         3,              11,              12,                5,            9,                 1,               2,                   0,                 3,                 6,            0,            0,            0,            0,            0,        0,        0,  31,            38,             45,               6,        1, Partner    ,           3,         1, Graduate       ,       1
 47916.0,       0,        1,      72,      505,         0,              26,               0,                0,           75,                 5,               7,                   4,                 6,                 6,            0,            1,            0,            0,            0,        0,        0,  54,           584,            606,              22,        1, Alone      ,           2,         1, Graduate       ,       0
 51813.0,       1,        1,      37,       51,         2,               7,               0,                1,            2,                 2,               2,                   0,                 3,                 7,            0,            0,            0,            0,            0,        0,        0,  42,           444,             63,               7,        2, Alone      ,           3,         1, Graduate       ,       3
 78497.0,       0,        0,      44,      207,        26,             447,              75,                0,          223,                 1,               5,                   7,                12,                 2,            0,            0,            0,            1,            0,        0,        0,  63,           210,            978,              25,        0, Partner    ,           2,         0, Undergraduate  ,       2
 50150.0,       0,        0,      32,      135,        46,              92,              65,               61,           11,                 2,               5,                   2,                 7,                 5,            0,            0,            0,            0,            0,        0,        0,  31,           374,            410,              16,        0, Partner    ,           2,         0, Postgraduate   ,       3
 47823.0,       0,        1,       0,       53,         1,               5,               2,                1,           10,                 2,               2,                   0,                 3,                 8,            0,            0,            0,            0,            0,        0,        0,  54,           341,             72,               7,        1, Alone      ,           2,         1, Undergraduate  ,       3
 34554.0,       0,        1,      43,       41,         1,               6,               2,                0,            5,                 2,               2,                   0,                 3,                 6,            0,            0,            0,            0,            0,        0,        0,  55,            91,             55,               7,        1, Alone      ,           2,         1, Postgraduate   ,       3
 85693.0,       0,        1,      59,      386,       172,             183,             185,              132,          111,                 2,               9,                   5,                11,                 5,            0,            0,            0,            0,            0,        0,        0,  35,           435,           1169,              27,        1, Partner    ,           3,         1, Graduate       ,       0
 65846.0,       0,        0,      68,      562,        81,             276,              80,               40,           81,                 1,               6,                   3,                 6,                 4,            0,            0,            0,            0,            0,        0,        0,  69,           408,           1120,              16,        0, Partner    ,           2,         0, Postgraduate   ,       2
 87195.0,       0,        0,      35,      217,        76,             690,              50,               26,           38,                 1,               3,                  11,                 5,                 1,            0,            0,            0,            0,            0,        0,        1,  55,            52,           1097,              20,        0, Partner    ,           2,         0, Graduate       ,       2
 24594.0,       1,        0,      94,        1,         3,               6,              10,                0,            9,                 1,               1,                   0,                 3,                 5,            0,            0,            0,            0,            0,        0,        0,  35,           201,             29,               5,        1, Partner    ,           3,         1, Undergraduate  ,       1
 49096.0,       1,        1,      15,      144,         1,              32,               2,                1,            7,                 4,               4,                   1,                 4,                 7,            0,            0,            0,            0,            0,        0,        0,  50,           278,            187,              13,        2, Partner    ,           4,         1, Graduate       ,       1
 52413.0,       0,        2,      56,      295,       106,             271,              75,               98,           65,                 4,               6,                   4,                12,                 6,            0,            0,            0,            0,            0,        0,        0,  45,           512,            910,              26,        2, Partner    ,           4,         1, Graduate       ,       0
 38557.0,       1,        0,      17,       76,         3,              31,               4,                4,           27,                 2,               3,                   1,                 3,                 7,            0,            0,            0,            0,            0,        0,        0,  36,           557,            145,               9,        1, Alone      ,           2,         1, Graduate       ,       3
 89058.0,       0,        0,      18,      454,       194,             106,              31,               22,           43,                 1,               5,                   4,                 4,                 2,            0,            0,            0,            0,            0,        0,        0,  54,           569,            850,              14,        0, Partner    ,           2,         0, Postgraduate   ,       2
 77298.0,       0,        1,      46,      425,       115,             292,              23,               35,           79,                 1,               6,                   6,                11,                 3,            0,            0,            0,            0,            0,        0,        0,  35,           239,            969,              24,        1, Partner    ,           3,         1, Graduate       ,       2
 68126.0,       0,        0,      40,     1332,        17,             311,              23,               51,           86,                 1,               7,                   4,                 5,                 9,            0,            1,            0,            0,            0,        0,        1,  23,           596,           1820,              17,        0, Alone      ,           1,         0, Postgraduate   ,       2
